"id";"fid";"uid";"value"
"1";"3";"1";"George Schmitt"
"2";"4";"1";"Chaoburg"
"3";"5";"1";"Bilba Gardner"
"4";"3";"2";"Alfonso Hoffman"
"5";"4";"2";"Hoshor"
"6";"5";"2";"Fridugis Riverhopper"
"7";"3";"3";"Quinton Stevenson"
"8";"4";"3";"Bepriedan"
"9";"5";"3";"Fridugis Riverhopper"
"10";"3";"4";"Gage Ponce"
"11";"4";"4";"Etrana"
"12";"5";"4";"Merimas Silverstring"
"13";"3";"5";"Keagan Friedman"
"14";"4";"5";"Uglax"
"15";"5";"5";"Bilba Gardner"
"16";"3";"6";"Gunnar Maxwell"
"17";"4";"6";"Etrana"
"18";"5";"6";"Pepin Silentfoot"
"19";"3";"7";"Jenny Mejia"
"20";"4";"7";"Hoshor"
"21";"5";"7";"Merimas Silverstring"
"22";"3";"8";"Perla Garner"
"23";"4";"8";"Chaoburg"
"24";"5";"8";"Pepin Silentfoot"
"25";"3";"9";"Campbell Hoover"
"26";"4";"9";"Etrana"
"27";"5";"9";"Bilba Gardner"
"28";"3";"10";"Gael Jennings"
"29";"4";"10";"Etrana"
"30";"5";"10";"Merimas Silverstring"
"31";"3";"11";"Coby Grimes"
"32";"4";"11";"Uglax"
"33";"5";"11";"Lo Rumble"
"34";"3";"12";"Destiny Beasley"
"35";"4";"12";"Chaoburg"
"36";"5";"12";"Bilba Gardner"
"37";"3";"13";"Daniella Richards"
"38";"4";"13";"Chaoburg"
"39";"5";"13";"Merimas Silverstring"
"40";"3";"14";"Rylee Norman"
"41";"4";"14";"Friatho"
"42";"5";"14";"Fridugis Riverhopper"
"43";"3";"15";"Gavin Atkins"
"44";"4";"15";"Hoshor"
"45";"5";"15";"Pepin Silentfoot"
"46";"3";"16";"Molly Villarreal"
"47";"4";"16";"Friatho"
"48";"5";"16";"Pepin Silentfoot"
"49";"3";"17";"Nola Gibbs"
"50";"4";"17";"Chaoburg"
"51";"5";"17";"Fridugis Riverhopper"
"52";"3";"18";"Valerie Vazquez"
"53";"4";"18";"Etrana"
"54";"5";"18";"Lo Rumble"
"55";"3";"19";"Ariella Kane"
"56";"4";"19";"Uglax"
"57";"5";"19";"Pepin Silentfoot"
"58";"3";"20";"Walter Bray"
"59";"4";"20";"Uglax"
"60";"5";"20";"Pepin Silentfoot"
"61";"3";"21";"Nyla Glass"
"62";"4";"21";"Friatho"
"63";"5";"21";"Bilba Gardner"
"64";"3";"22";"Lara Tate"
"65";"4";"22";"Uglax"
"66";"5";"22";"Fridugis Riverhopper"
"67";"3";"23";"Wayne Crosby"
"68";"4";"23";"Friatho"
"69";"5";"23";"Bilba Gardner"
"70";"3";"24";"Marshall Thomas"
"71";"4";"24";"Etrana"
"72";"5";"24";"Bilba Gardner"
"73";"3";"25";"Rodolfo Todd"
"74";"4";"25";"Friatho"
"75";"5";"25";"Fridugis Riverhopper"
"76";"3";"26";"Aryan Nicholson"
"77";"4";"26";"Friatho"
"78";"5";"26";"Lo Rumble"
"79";"3";"27";"Charlee Norton"
"80";"4";"27";"Chaoburg"
"81";"5";"27";"Bilba Gardner"
"82";"3";"28";"Sydnee Kane"
"83";"4";"28";"Bepriedan"
"84";"5";"28";"Merimas Silverstring"
"85";"3";"29";"Kira Soto"
"86";"4";"29";"Etrana"
"87";"5";"29";"Pepin Silentfoot"
"88";"3";"30";"Moriah Davidson"
"89";"4";"30";"Bepriedan"
